# 학교명,구·군,개편 전 구·군,계열,설립,남녀   (출처: _2026_4_1_자_학교_현황__최종_.xlsx 고등학교 시트 · 구·군 기준: 개편후)
# fetch_ice_curriculum.py 는 앞의 두 칸(학교명,구·군)만 읽습니다. sync_school_list.py 로 다시 만들 수 있어요.
덕적고등학교,옹진군,옹진군,일반,공립,공학
백령고등학교,옹진군,옹진군,일반,공립,공학
연평고등학교,옹진군,옹진군,일반,공립,공학
인천영흥고등학교,옹진군,옹진군,일반,공립,공학
광성고등학교,제물포구,중구,일반,사립,남
동산고등학교,제물포구,동구,일반,사립,남
영화국제관광고등학교,제물포구,동구,특성화,사립,여
인성여자고등학교,제물포구,중구,일반,사립,여
인일여자고등학교,제물포구,중구,일반,공립,여
인천반도체고등학교,제물포구,중구,특성화,공립,공학
인천여자상업고등학교,제물포구,중구,특성화,공립,여
인천중앙여자고등학교,제물포구,중구,특성화,사립,여
인천해사고등학교,제물포구,중구,특목,국립,공학
재능고등학교,제물포구,동구,특성화,사립,공학
제물포고등학교,제물포구,중구,일반,공립,남
인천외국어고등학교(국제계열),부평구,부평구,특목,사립,공학
